App / Time window,"Jun 09, 2022 - Jun 15, 2022","Jun 16, 2022 - Jun 22, 2022","Jun 23, 2022 - Jun 29, 2022","Jun 30, 2022 - Jul 06, 2022","Jul 07, 2022 - Jul 13, 2022","Jul 14, 2022 - Jul 20, 2022","Jul 21, 2022 - Jul 27, 2022","Jul 28, 2022 - Aug 03, 2022","Aug 04, 2022 - Aug 10, 2022","Aug 11, 2022 - Aug 17, 2022","Aug 18, 2022 - Aug 24, 2022","Aug 25, 2022 - Aug 31, 2022","Sep 01, 2022 - Sep 07, 2022","Sep 08, 2022 - Sep 14, 2022","Sep 15, 2022 - Sep 21, 2022","Sep 22, 2022 - Sep 28, 2022","Sep 29, 2022 - Oct 05, 2022","Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022","Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023","Jan 26, 2023 - Feb 01, 2023","Feb 02, 2023 - Feb 08, 2023","Feb 09, 2023 - Feb 15, 2023","Feb 16, 2023 - Feb 22, 2023","Feb 23, 2023 - Mar 01, 2023","Mar 02, 2023 - Mar 08, 2023","Mar 09, 2023 - Mar 15, 2023","Mar 16, 2023 - Mar 22, 2023","Mar 23, 2023 - Mar 29, 2023","Mar 30, 2023 - Apr 05, 2023","Apr 06, 2023 - Apr 12, 2023","Apr 13, 2023 - Apr 19, 2023","Apr 20, 2023 - Apr 26, 2023","Apr 27, 2023 - May 03, 2023","May 04, 2023 - May 10, 2023","May 11, 2023 - May 17, 2023","May 18, 2023 - May 24, 2023","May 25, 2023 - May 31, 2023","Jun 01, 2023 - Jun 07, 2023"
com.twitter.android,3.8443915501338886,3.9898749255509234,3.9966101694915253,3.894995394534848,3.8711601550849983,3.896149358226371,3.9862155388471177,3.9619929734908976,4.018421052631579,4.056386292834891,4.074382716049382,3.7010155316606927,3.9684835001853913,3.4234625668449197,4.034381551362683,4.02494623655914,3.887187751813054,3.996265560165975,3.9094076655052263,3.895373973194985,3.656152179147604,3.6106271777003482,3.9901168014375563,3.8293172690763053,4.033002129169624,4.259168203237041,3.6731437921865413,3.4333538714315055,3.6371959194349985,3.9973614775725594,3.9636021336680263,3.8748815165876778,3.4554785020804437,2.6885004212299917,3.3230396609143202,3.6882332029861358,3.7564589665653494,3.729453401494298,3.6714393368500375,3.57180352455943,3.551161984044398,3.428415300546448,3.6435278336686787,3.6139025311673594,3.652718028940164,3.1802921976997203,3.779790660225443,3.7558823529411764,3.805098684210526,3.8377153218495015,3.7907184292726464,3.63953983809118
org.joinmastodon.android,3.0,3.7142857142857144,3.0,5.0,3.5,3.4,2.0,0,3.25,0,4.666666666666667,3.0,3.0,1.25,5.0,2.5,2.0,2.5,2.5,2.5,2.5384615384615383,2.15406162464986,2.41875,2.1050420168067228,2.420289855072464,2.5098039215686274,2.6875,2.985294117647059,2.6,2.4,2.5833333333333335,2.6666666666666665,2.875,2.6666666666666665,2.9,2.8,3.2142857142857144,2.857142857142857,1.7,2.2,3.5555555555555554,4.125,3.2,2.6666666666666665,2.1818181818181817,2.875,2.9,4.2,3.1538461538461537,2.5,2.625,3.5555555555555554
com.mewe,3.8666666666666667,3.896551724137931,3.926829268292683,3.838709677419355,4.193548387096774,4.2272727272727275,3.3636363636363638,3.3421052631578947,3.8,3.8771929824561404,3.816666666666667,3.8225806451612905,4.11864406779661,4.037735849056604,3.9342105263157894,4.071428571428571,3.7413793103448274,3.7017543859649122,3.712121212121212,4.435483870967742,3.912280701754386,4.076923076923077,4.288888888888889,3.757575757575758,3.918032786885246,4.344262295081967,4.409836065573771,4.018518518518518,4.1,4.0,3.6122448979591835,3.4210526315789473,3.3968253968253967,3.4516129032258065,3.6607142857142856,3.8125,3.5625,3.8846153846153846,4.3125,3.6,3.35,4.023255813953488,3.392857142857143,3.210526315789474,3.58974358974359,3.6451612903225805,3.909090909090909,4.033333333333333,4.0,4.428571428571429,3.875,4.314285714285714
org.hiveinc.TheHive.android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5132743362831858,2.2027231467473527,1.4871134020618557,1.3112582781456954,2.4491017964071857,1.962962962962963,1.8928571428571428,2.0952380952380953,1.6,2.1333333333333333,1.8181818181818181,1.8888888888888888,1.9090909090909092,2.5,4.0,2.25,3.142857142857143,1.8571428571428572,2.75,3.0,2.5,1.6666666666666667,2.909090909090909,2.0,0,1.0,2.5,2.5,3.0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285714285714286,3.134920634920635,2.5106382978723403,2.727272727272727,2.4814814814814814,2.619047619047619,2.5,2.7142857142857144
com.gettr.gettr,4.074626865671642,3.96,4.572519083969466,4.330645161290323,3.7222222222222223,3.716417910447761,4.42,4.238095238095238,4.421800947867299,4.5,4.0754716981132075,4.543478260869565,4.0344827586206895,4.40566037735849,4.25,4.085106382978723,4.136363636363637,3.5,4.155555555555556,3.9473684210526314,4.421052631578948,3.85,4.052631578947368,3.5714285714285716,3.5714285714285716,3.9,4.16,3.2666666666666666,3.526315789473684,3.92,3.125,3.0,3.76,2.8,3.7142857142857144,3.92,4.0,2.6153846153846154,3.4,4.117647058823529,2.5,1.5,4.37037037037037,4.388888888888889,2.0,3.0,4.157894736842105,4.444444444444445,3.3333333333333335,4.428571428571429,4.0,3.838709677419355
counter.social.android,5.0,5.0,2.6666666666666665,0,2.0,5.0,1.0,3.6666666666666665,0,3.5,1.0,5.0,0,5.0,5.0,0,0,3.5,5.0,5.0,3.5833333333333335,4.37719298245614,4.75,3.3333333333333335,3.6666666666666665,0,2.8333333333333335,3.3333333333333335,0,5.0,5.0,0,0,1.0,0,4.333333333333333,5.0,0,5.0,3.0,4.0,3.0,3.6666666666666665,5.0,0,0,0,4.0,0,1.0,0,4.0
com.minds.mobile,2.2,2.0,1.6666666666666667,4.5,1.0,1.5,1.75,2.25,2.5,4.5,1.0,5.0,2.3333333333333335,3.0,1.0,2.6666666666666665,1.0,3.6666666666666665,1.0,3.0,2.5,1.0,5.0,3.0,1.0,0,2.3333333333333335,4.777777777777778,4.743589743589744,4.277777777777778,4.555555555555555,4.5,4.769230769230769,4.333333333333333,4.214285714285714,4.75,4.777777777777778,4.8,3.5,3.5,4.5,4.176470588235294,4.333333333333333,4.8,4.5625,4.714285714285714,4.5,4.166666666666667,4.571428571428571,4.5,4.571428571428571,3.6
jp.panta.misskeyandroidclient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,4.0,3.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0
com.truthsocial.android.app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.233532934131737,4.137064786249449,3.7041666666666666,3.0675675675675675,3.5244755244755246,2.8454545454545452,2.7981651376146788,2.888888888888889,3.298507462686567,2.9347826086956523,2.76271186440678,2.9183673469387754,2.8,3.4642857142857144,3.1621621621621623,2.85,2.63265306122449,3.3846153846153846,3.574074074074074,2.85,3.225806451612903,2.4,2.9642857142857144,2.420289855072464,2.08,2.8115942028985508,3.0350877192982457,3.2954545454545454,3.1578947368421053,2.872340425531915,3.090909090909091,2.7866666666666666,3.7865168539325844,3.0545454545454547,3.5441176470588234
